tweet_id,date,username,num_liked,tweet_text,is_retweet
1467901250,Mon Apr 06 22:43:44 PDT 2009,USERID_6,7790,"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and ",True
1467901346,Mon Apr 06 22:43:46 PDT 2009,USERID_1,5079,"DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!",True
1467901437,Mon Apr 06 22:43:48 PDT 2009,USERID_6,5913,@Sara_Kate Im afraid too  ( ur reply about uni from ages ago,False
1467901500,Mon Apr 06 22:43:49 PDT 2009,USERID_7,7376,feeling down ,True
1467901839,Mon Apr 06 22:43:54 PDT 2009,USERID_7,4871,@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke ,False
1467904302,Mon Apr 06 22:44:34 PDT 2009,USERID_8,1195,"@nick_carter Aww Nick!! I like your hair longer, why did you cut it off?  Break. My. Heart.",False
1467905125,Mon Apr 06 22:44:48 PDT 2009,USERID_7,1738, wonder if Jon lost the net,True
1467905378,Mon Apr 06 22:44:52 PDT 2009,USERID_2,4420,Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML,False
1467905653,Mon Apr 06 22:44:57 PDT 2009,USERID_10,8845,@nchokkan https://www.mycomicshop.com/search?TID=395031 But all says not in stock ,True
1467906151,Mon Apr 06 22:45:05 PDT 2009,USERID_8,6711,@Poohpot lmao im sorry poohpot i ate it all! ,False
1467906345,Mon Apr 06 22:45:08 PDT 2009,USERID_3,8279,Any chance  Softbelly (for @MTUB) isn't loud? ,True
1467906723,Mon Apr 06 22:45:13 PDT 2009,USERID_6,7222,listening to nathan cry.... ,False
1467907298,Mon Apr 06 22:45:22 PDT 2009,USERID_8,9005,today sucked. I'm gonna die without chris and callum!  wahhh!,False
1467907751,Mon Apr 06 22:45:29 PDT 2009,USERID_2,9048,"STOU site not update, no info about 2/2552 exam, and open course, I must wait for mail notices and doc. um... ",True
1467907876,Mon Apr 06 22:45:31 PDT 2009,USERID_7,1347,@ohsbrat30...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick ,True
1467908012,Mon Apr 06 22:45:33 PDT 2009,USERID_1,1809,is in love with scrappy and is missin him already ,False
1467908134,Mon Apr 06 22:45:37 PDT 2009,USERID_7,8983,wants to hear @seblefebvre 's song but myspace is messing with me ,False
1467908456,Mon Apr 06 22:45:40 PDT 2009,USERID_5,2265,Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management,True
1467908672,Mon Apr 06 22:45:44 PDT 2009,USERID_10,1692,@duchess_rebecca Man... intervention is soo sad ,False
1467908798,Mon Apr 06 22:45:46 PDT 2009,USERID_2,1659,HELP! I need a new boyfriend... I'm stuck in a rut ,True
1467909124,Mon Apr 06 22:45:51 PDT 2009,USERID_4,9406,Saw an ad on Craigslist for a casting call for a female host on G4. I was totally psyched! But realized it was a hoax ,False
1467909222,Mon Apr 06 22:45:53 PDT 2009,USERID_5,8887,Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  http://tinyurl.com/cec5ka,False
1467909292,Mon Apr 06 22:45:54 PDT 2009,USERID_10,5179,"@soillodge yes, it will be. it's only Monday ",True
1467910531,Mon Apr 06 22:46:14 PDT 2009,USERID_7,6172,i want the new GG episode already ,True
1467910689,Mon Apr 06 22:46:16 PDT 2009,USERID_3,1529,I miss watching Rocko's Modern Life. ,True
1467910932,Mon Apr 06 22:46:20 PDT 2009,USERID_8,1507,RIP Sandra....its so sad    how can someone do something like that??,False
1467910986,Mon Apr 06 22:46:24 PDT 2009,USERID_6,836,Keeping my fingers crossed for my buddy    He is not feeling well.,True
1467910995,Mon Apr 06 22:46:22 PDT 2009,USERID_4,2886,Wait should I eat?? Or be skinny for vegas!! I'm hungry! ,False
1467911036,Mon Apr 06 22:46:24 PDT 2009,USERID_7,6950,"@Marge_Inovera I tried tweetdeck once and I hated it with a passion. Or it hated me, I'm not sure... ",True
1467911302,Mon Apr 06 22:46:27 PDT 2009,USERID_10,8562,"@benackerman BTW my iPhone is acting funny, dying quickly and freezing and BS.  I'm not admitting anything, just sayin ",True
1467911624,Mon Apr 06 22:46:32 PDT 2009,USERID_5,5668,Sitting here wondering why &quot;ED&quot; still has such a strong hold on me ,False
1467911846,Mon Apr 06 22:46:36 PDT 2009,USERID_3,1352,@bananaface IM SORRY I GOT YOU SICK.  lol. going to bed too. NIGHT!,True
1467912100,Mon Apr 06 22:46:40 PDT 2009,USERID_6,3394,"@carolrainbow no Internet at home, have to drive into Ox to use Internet because of builders! ",False
1467912333,Mon Apr 06 22:46:44 PDT 2009,USERID_7,3345,@Steve_Buscemi the weather in Canada is freezing ,True
1467912572,Mon Apr 06 22:46:48 PDT 2009,USERID_3,36,twiggassssssss I been out of range all day  I'm back now and hopefully for good.,True
1467912842,Mon Apr 06 22:46:53 PDT 2009,USERID_4,496,@danadearmond ,True
1467912994,Mon Apr 06 22:46:55 PDT 2009,USERID_8,926,anyone who reads this pray for my Grandma. She's in pain ,False
1467913111,Mon Apr 06 22:46:57 PDT 2009,USERID_7,5185,"#3 woke up and was having an accident - &quot;It's pushing, it's pushing!&quot; he was crying because he couldn't stop from wetting his pants.  ",True
1467913608,Mon Apr 06 22:47:05 PDT 2009,USERID_8,8262,"Home from Franklin street, I almost jumped over a fire. Someone kicked it before I could.  Jenny lost her shoe.",True
1467914434,Mon Apr 06 22:47:22 PDT 2009,USERID_1,1269,@johnnybeane hey! you just changed your default. ,False
1467914499,Mon Apr 06 22:47:21 PDT 2009,USERID_2,910,Finally gave in and was bored enough to start this thing. I think the 140 is going to be a problem for me tho.  its like a myspace status.,True
