tweet_id,date,username,num_liked,tweet_text,is_retweet
1467876711,Mon Apr 06 22:37:04 PDT 2009,USERID_10,1117,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick ,False
1467877496,Mon Apr 06 22:37:16 PDT 2009,USERID_1,2062,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. ,False
1467877833,Mon Apr 06 22:37:22 PDT 2009,USERID_2,4270,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can,True
1467877865,Mon Apr 06 22:37:23 PDT 2009,USERID_1,5899,@kissability Me too I is poor ,True
1467878057,Mon Apr 06 22:37:26 PDT 2009,USERID_6,703,help me forget 8th april &amp; 13th july! ,False
1467878557,Mon Apr 06 22:37:36 PDT 2009,USERID_6,5814,"dierks bentley is comin' to columbus, OH!! i wanna go so bad ",False
1467878633,Mon Apr 06 22:37:35 PDT 2009,USERID_2,2351,i have to take my sidekick back. ,True
1467878929,Mon Apr 06 22:37:40 PDT 2009,1058,@chriscantore congrats! I'm totally jealous! only wish my XM was working ,True
1467878971,Mon Apr 06 22:37:41 PDT 2009,USERID_2,2238,gr8t my face is very itchy ,True
1467878983,Mon Apr 06 22:37:41 PDT 2009,USERID_8,4860,poor socks  luvvvvv the golden retriever!! I want one sighhhh,False
Mon Apr 06 22:37:46 PDT 2009,USERID_4,8242,Aaaaand the nausea is back. ,False
1467879480,Mon Apr 06 22:37:49 PDT 2009,USERID_4,1345,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..,True
1467879984,Mon Apr 06 22:37:57 PDT 2009,USERID_2,3694,@mathewsmichael  i agree... the jobros dont update theres very often ,True
1467880085,Mon Apr 06 22:37:59 PDT 2009,USERID_4,2478,@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link ,False
1467880431,Mon Apr 06 22:38:04 PDT 2009,USERID_3,9407,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  ),True
1467880442,Mon Apr 06 22:38:04 PDT 2009,USERID_2,5125,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",True
1467880463,Mon Apr 06 22:38:04 PDT 2009,USERID_9,1226,@bostongarden I miss bentley ,True
1467880692,Mon Apr 06 22:38:08 PDT 2009,USERID_6,4989,seriously needs to finish these job applications ,True
1467881131,Mon Apr 06 22:38:14 PDT 2009,USERID_10,732,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids",True
