HEIDI,25,Atlantic
OLAF,25,Pacific
TINA,25,Pacific
EMMY,20,Atlantic
FOUR,25,Pacific
FLOSSIE,25,Atlantic
GLORIA,20,Atlantic
MARIA,30,Atlantic
GILBERT,25,Atlantic
FELICE,25,Atlantic
NICOLE,30,Atlantic
OLIVE,25,Pacific
OPHELIA,25,Atlantic
FLORA,35,Atlantic
ADELE,25,Pacific
JULIO,25,Pacific
UNNAMED,80,Atlantic
ISIDORE,30,Atlantic
FRANKLIN,30,Atlantic
BABE,25,Atlantic
FRAN,30,Atlantic
WENE,45,Pacific
RAYMOND,30,Pacific
ARLENE,25,Atlantic
GORDON,25,Atlantic
RICHARD,30,Atlantic
DEBBY,30,Atlantic
GLENDA,75,Pacific
FERN,25,Atlantic
LALA,25,Pacific
FLOSSY,25,Atlantic
TANYA,30,Atlantic
ALEX,25,Atlantic
SHARY,30,Atlantic
BORIS,30,Pacific
PAULINE,45,Pacific
GENEVIEVE,30,Pacific
NEKI,25,Pacific
KENNA,30,Pacific
SEYMOUR,30,Pacific
IVA,75,Pacific
ESTHER,30,Atlantic
IGNACIO,25,Pacific
JANICE,30,Atlantic
PATRICIA,25,Pacific
RINA,25,Atlantic
OMAR,25,Atlantic
JUDITH,30,Atlantic
CHRISTINE,30,Atlantic
EILEEN,25,Pacific
WALDO,25,Pacific
BONNIE,25,Atlantic
ILEANA,25,Pacific
SIMON,25,Pacific
KLAUS,15,Atlantic
ALLEN,25,Atlantic
KATHERINE,25,Pacific
LILLIAN,45,Pacific
JOSEPHINE,25,Atlantic
IDA,30,Atlantic
DOUGLAS,25,Pacific
OCTAVE,25,Pacific
JENNY,30,Atlantic
KIRK,30,Atlantic
FELIX,25,Atlantic
IRMA,30,Atlantic
IONE 1,25,Pacific
WINIFRED,25,Pacific
HANNA,30,Atlantic
ODILE,30,Pacific
ALFA,25,Atlantic
GRACIE,25,Atlantic
LORRAINE,25,Pacific
MINDY,40,Atlantic
LENNY,30,Atlantic
VIRGIL,25,Pacific
ANDREA,35,Atlantic
BERYL,30,Atlantic
LORENZO,30,Atlantic
IRWIN,30,Pacific
DEBBIE,35,Atlantic
IRIS,25,Atlantic
PEKE,30,Pacific
ELLA,30,Atlantic
PABLO,30,Atlantic
ELE,15,Pacific
HELGA,25,Pacific
PRUDENCE,45,Pacific
JOAN,25,Atlantic
ANNETTE,45,Pacific
